title,link
Irre: Nach dem Heizungshammer kommt nun der Mauthammer🚗💥! Dirk Brandes - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=tPOxJQu2A4s
Importierter Judenhass in 🇩🇪 ist leider Normalität! Dr. Marc Jongen - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=04v_UQLFLEY
"Der Elefant im Raum ist muslimisch!, Beatrix von Storch - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=w7vbo22McXI
Andreas Bleck zeigt die grüne Volksverblödung auf! AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=NBM5LbpuVmU
Vollkommen irre: Die Asylpolitik der🚦-Regierung! Martin Sichert - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=OnzO1AbUiak
Der ostdeutsche Mittelstand geht am bürokratischen Krückstock! Enrico Komning - AfD-Fraktion BT,https://www.youtube.com/watch?v=0HXIVKZ_X5Q
Bürokratiemonster! 💡🚫Dieser Murks muss ersatzlos gestrichen werden! Leif-Erik Holm - AfD-Fraktion BT,https://www.youtube.com/watch?v=8vtguSQVzZU
Was für ein Irrsinn!!! 🇩🇪 im WÜRGEGRIFF der Bürokraten! Stephan Brandner AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=lm59iHT1emg
"Cannabis: vollkommen irrationale Politik, Jörg Schneider - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=nh1dJbCvtC0
Reformen allein in der Ausbildung der Physiotherapieberufe reichen nicht! AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=mn8FGlTUKO8
Keine Unterstützung für palästinische Terrororganisationen! Gerold Otten- AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=w2Lvyi5Nr8c
Dieses Gesetz ist für das Land eine Katastrophe! Dr. Dirk Spaniel - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=xMkJlQ2y3hk
Marc Bernhard rechnet mit der Energiepolitik der Ampel ab! 🚦 - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=UHoVmWR8pzs
Wolfgang Wiehle deckt Machtlosigkeit der FDP innerhalb der 🚦-Regierung auf!  AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=Zd3qAgLUYUs
Norbert Kleinwächter entlarvt das Asyldesaster💥 der CDU! AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=aJdKntJIYf8
Verarmte Rentner: Sind Sie der🚦-Regierung egal?! Gerrit Huy - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=sw2LhP6Bu4M
AfD-Rede zur Seenotrettung treibt Grüne zur Weißglut! Petr Bystron - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=eFl2MzoqIcw
KGE kocht🔥: Stephan Brandner deckt die zwielichtigen Gebaren der Grünen auf!  AfD-Fraktion im BT,https://www.youtube.com/watch?v=w2DIvbr8YDw
Leif-Erik Holm rechnet mit der Arroganz und Überheblichkeit der Altparteien ab! - AfD-Fraktion,https://www.youtube.com/watch?v=JWilM5vwR98
Wir brauchen Frieden statt Krieg und Feindschaft! Tino Chrupalla - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=nHPSpLh5h-8
Knallharte Kampfansage an alle Gender-Ideologen! Götz Frömming - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=nKCVKZ9Vb0c
Neue Europäische Sicherheits- und Wirtschaftsordnung: Konferenz des AK Außen -AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=H5x8GPxhrmw
💥 Stephan Brandner lobt Lesefähigkeit grüner Staatssekretärin - Grüne ticken völlig aus! - AfD,https://www.youtube.com/watch?v=uermHvtpOrk
Schämen Sie sich alle! Martin Hess rechnet mit der Heuchlerei🚫💥 der Altparteien ab! AfD-Fraktion BT,https://www.youtube.com/watch?v=HK9O7IvVk2E
Regierungsbefragung: AfD-Fraktion grillt FDP-Minister! - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=R-kVytwxxuE
💶💥700 Millionen Euro jährlich für Stiftungen! Dr. Götz Frömming & Albrecht Glaser - AfD-Fraktions-TV,https://www.youtube.com/watch?v=OUtY5HEUIZk
Deutschland ist bei der Digitalisierung das Schlusslicht! Tobias Peterka - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=-InvY25OAwk
KI statt Ampel: AfD-Vorschlag sorgt für Heiterkeit! Eugen Schmidt - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=SezZ84UmD5A
Diese EU-Vorgaben sind sinnlos! Dr. Rainer Kraft - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=Bp4yjExA9V4
KI: Laut gerufen und schwach gesprungen! Barbara Benkstein - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=I4I_A6bBXgQ
"Gute Nacht CDU!, Dietmar Friedhoff - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=rphhJYCLLMs
Wir brauchen eine Generalumkehr in der Klima-Politik! Klaus Stöber - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=qWyTE54Cfh4
Qualität der Steuerberatung erhalten! - Klaus Stöber - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=7EB5rGSAu0I
Moldau in die EU? Das ist den Bürgern nicht fair gegenüber! Markus Frohnmaier - AfD-Fraktion im BT,https://www.youtube.com/watch?v=3ITyedl-hzY
Dieser Staat delegitimiert sich selbst!  Fabian Jacobi - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=3xBSDP4aTVE
"Sie gaukeln hier Transparenz vor, wo keine ist! Jan Wenzel Schmidt - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=hOqrFTb8Uo4
Ganz einfach: Offene Grenzen und Sozialstaat schließen einander aus! Roger Beckamp- AfD-Fraktion BT,https://www.youtube.com/watch?v=LK3srn0kRig
Zusammenarbeit für Gründer attraktiver machen! Prof. Dr. Michael Kaufmann - AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=a1tUpEK2aWU
Die Ampel-Ideologie ist schädlich für unser Land! Tobias Peterka - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=iW5IfFFlUEI
Wir brauchen die Festung Europa! Sichere Grenzen jetzt! Dr. Christian Wirth - AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=eHnbBvZUZjM
Sach- statt Geldleistungen für Asylbewerber! Gerrit Huy - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=ALhOGJEeyFs
"Der BND ist gefordert, wie seit dem Kalten Krieg nicht mehr! Dr. Christian Wirth -AfD-Fraktion im BT",https://www.youtube.com/watch?v=a1dSm9_-4xI
Die letzten parlamentarischen Zuckungen der Linken! Stephan Brandner -AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=2pYtBA81T1g
Die Linken wollen unsere Gesellschaft zurückwerfen! Fabian Jacobi - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=Xh6ounJJXDA
Wohnungsnot und Mietenkrise: Die Ursachen müssen benannt werden! Thomas Seitz - AfD-Fraktion im BT,https://www.youtube.com/watch?v=K50HuFRYvkY
Auch die Union ist längst der Klima-Hysterie🌍🚫 verfallen! Steffen Kotré - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=6Vb-GbZe8ik
Sie zerstören Deutschland! - Karsten Hilse - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=xZYbx5tiTCw
Linke missbrauchen „Nachhaltigkeit“ für ihre Agenda! Marc Jongen - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=jBFboUld62Y
Die Verkehrs-und Tourismusbranche braucht langfristige Lösungen! Mike Moncsek - AfD-Fraktion im BT,https://www.youtube.com/watch?v=lFzeGfnE9Bk
Sie haben Deutschland nachhaltig ruiniert! - Stephan Brandner AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=i5HAmY6tEPo
Leistungsträger werden hemmungslos ausgebeutet! - Michael Kaufmann AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=ygWNF6_1EsQ
"Raumfahrt: Die Ampel versagt ein weiteres Mal!, Dr. Malte Kaufmann - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=EjeJ0k4f92I
Diese Regierung will von der Realität nichts wissen! - Dr Malte Kaufmann - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=j_vvO3j9M_g
Eine globale Mindestbesteuerung ist purer Zynismus! Albrecht Glaser- AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=plJJuTvZUA8
Ihre Verachtung der Bürger erinnert an die Klima-Extremisten! Carolin Bachmann - AfD-Fraktion im BT,https://www.youtube.com/watch?v=-y_Fmjft90A
Die Ampel fährt die Wirtschaft mit Vollgas gegen die Wand! Ulrike Schielke-Ziesig - AfD-Fraktion BT,https://www.youtube.com/watch?v=uQj9ddbW8j8
Gute Lebensmittel muss sich jeder leisten können! Peter Felser - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=hjXm4qqG5M0
Stiftungsgesetz: Dreistes Lehrstück von Machtmissbrauch & Vetternwirtschaft! Peter Boehringer - AfD,https://www.youtube.com/watch?v=QPxQPP5k9Cs
Schluss mit der bürokratischen Gängelung der Bürger! Jörn König - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=TD47fLVOcuY
Die soziale Marktwirtschaft ist ALTERNATIVLOS! Enrico Komning - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=WSlZgrpcNsI
Faeser hat Deutschland🇩🇪 massiv geschadet! Dr. Bernd Baumann im Interview🎙-AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=e-XUGFDQnIE
"Markus Frohnmaier erklärt, was WIRKLICH hinter der Agenda2030🌍 steckt! AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=HzIIUQXLxpI
"Irre: Regierung plant mit Energie, die wir gar nicht haben! Andreas Bleck - AfD-Fraktion Bundestag",https://www.youtube.com/watch?v=zYsWJ7dFJ7k
Von wegen nachhaltig: Sie träumen eine Lebenslüge vom reichen 🇩🇪! Dr. Rainer Kraft - AfD-Fraktion BT,https://www.youtube.com/watch?v=-0JkT_LunoU
Hamas auf unseren Straßen: Dieser Islam gehört nicht zu 🇩🇪! Jürgen Braun- AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=AIOZVoEkh_c
Hamas-Terror: Matthias Moosdorf kritisiert die Heuchelei der SPD - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=fuiDd7yPkMM
Alexander Gauland zur Lage im Nahen Osten! - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=HjAlsENa1LI
Beatrix von Storch über die Folgen der verfehlten Einwanderungspolitik!  AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=DfGNRzKD_3Q
